Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Descricao;Possui_suite
Quitinete;Santa Teresa;1;0;0;20;700.0;303.0;14.0;1003.0;12050.0;Quitinete em Santa Teresa com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;20;1090.0;300.0;15.0;1390.0;16695.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tanque;1;1;1;64;900.0;470.0;15.0;1370.0;16455.0;Apartamento em Tanque com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Apartamento;Glória;1;0;1;48;1100.0;500.0;0.0;1600.0;19200.0;Apartamento em Glória com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Quitinete;Centro;1;0;0;22;750.0;330.0;25.0;1080.0;12985.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;32;700.0;480.0;90.0;1180.0;14250.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;30;1100.0;423.0;242.0;1523.0;18518.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;40;1000.0;510.0;21.0;1510.0;18141.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Méier;1;1;0;55;900.0;250.0;17.0;1150.0;13817.0;Apartamento em Méier com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;55;850.0;350.0;35.0;1200.0;14435.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;28;900.0;446.0;24.0;1346.0;16176.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Catete;1;0;0;27;1000.0;359.0;29.0;1359.0;16337.0;Apartamento em Catete com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Praça da Bandeira;1;0;0;22;800.0;313.0;25.0;1113.0;13381.0;Quitinete em Praça da Bandeira com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Engenho Novo;1;1;0;62;900.0;555.0;0.0;1455.0;17460.0;Apartamento em Engenho Novo com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Tijuca;1;0;0;35;800.0;380.0;24.0;1180.0;14184.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Cascadura;1;0;0;40;680.0;240.0;0.0;920.0;11040.0;Apartamento em Cascadura com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Freguesia (Jacarepaguá);1;1;0;50;1000.0;590.0;36.0;1590.0;19116.0;Apartamento em Freguesia (Jacarepaguá) com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Flamengo;1;0;0;39;1100.0;580.0;20.0;1680.0;20180.0;Apartamento em Flamengo com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;35;950.0;340.0;24.0;1290.0;15504.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Vila Isabel;1;0;0;45;1200.0;424.0;24.0;1624.0;19512.0;Apartamento em Vila Isabel com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;33;800.0;570.0;0.0;1370.0;16440.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;35;700.0;312.0;28.0;1012.0;12172.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;1;0;47;1100.0;600.0;0.0;1700.0;20400.0;Apartamento em Tijuca com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Madureira;1;0;0;55;700.0;200.0;0.0;900.0;10800.0;Apartamento em Madureira com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Catete;1;0;0;20;1190.0;450.0;22.0;1640.0;19702.0;Quitinete em Catete com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Copacabana;1;0;0;55;1100.0;560.0;57.0;1660.0;19977.0;Apartamento em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Laranjeiras;1;0;0;27;1100.0;680.0;29.0;1780.0;21389.0;Apartamento em Laranjeiras com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Botafogo;1;0;0;20;980.0;500.0;29.0;1480.0;17789.0;Quitinete em Botafogo com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
